landmark,radius_px,err_median,err_q95,err_max
femur_head,1.0,2.0519713857898234e-06,3.3901929608779954e-06,4.186638683501692e-06
femur_head,1.330171439194516,3.630683249154429e-06,5.998912022548743e-06,7.408069879918239e-06
femur_head,1.7693560576488099,6.424575333001392e-06,1.061527893186226e-05,1.3108490969058334e-05
femur_head,2.3535468936502526,1.1369267896484299e-05,1.8784721145434155e-05,2.31958887593961e-05
femur_head,3.130620858738539,2.0120771998264134e-05,3.3242668648699944e-05,4.104720122461575e-05
femur_head,4.164262453240614,3.561137999007376e-05,5.8829857777888475e-05,7.263985766865766e-05
femur_head,5.539182980610754,6.303410458468467e-05,0.000104118001798683,0.000128555762254276
femur_head,7.368062997280774,0.0001115274046493385,0.00018422416894147559,0.00022753149193140143
femur_head,9.800786961168827,0.00019726798169533016,0.0003259096855901325,0.0004027503010867739
femur_head,13.036726897376788,0.00034896481461638845,0.0005765783244338005,0.0007129994773005244
femur_head,17.341081779469537,0.0006175109659453185,0.0010199714587092734,0.0012624694382609158
femur_head,23.066611707786787,0.001092547813074371,0.0018051293415547454,0.002235921194611301
femur_head,30.682548092687835,0.001933257068132091,0.0031931304929802146,0.003961229300821545
femur_head,40.81304915460552,0.0034214925550680175,0.0056512581749558755,0.0070207922770325615
femur_head,54.28835233189814,0.006047885586008772,0.009986973897257279,0.01245041627320087
femur_head,72.21281575281994,0.0107036624088796,0.01766778042664552,0.022095331371318805
femur_head,96.0554250582169,0.01894964128635601,0.03127885136596875,0.03924973658996289
femur_head,127.77018299212939,0.033502647929046,0.05531619329589044,0.06981076428261668
femur_head,169.95624819678739,0.05931129549681535,0.09797638649107748,0.12437186843040893
femur_head,226.07094726402102,0.10484639662114748,0.17418003435010598,0.22204398334658926
femur_head,300.7131172822503,0.1857406056762061,0.30932596626723097,0.3974746673584324
femur_head,400.0,0.3278518386541758,0.5485520710761551,0.7137991398232009
knee_inner,1.0,6.373301420226074e-07,1.1313570743905904e-06,1.414313239259113e-06
knee_inner,1.330171439194516,1.1277972989031868e-06,2.0018052940013603e-06,2.5024750958529962e-06
knee_inner,1.7693560576488099,1.995773845870491e-06,3.542065213474853e-06,4.427890346100222e-06
knee_inner,2.3535468936502526,3.531508484581891e-06,6.267548317890129e-06,7.834798885053562e-06
knee_inner,3.130620858738539,6.249032901382845e-06,1.1090403799686455e-05,1.3863217343833278e-05
knee_inner,4.164262453240614,1.1055300197966578e-05,1.962494088907432e-05,2.453053894590357e-05
knee_inner,5.539182980610754,1.9565565926180084e-05,3.472836967697082e-05,4.34069498191636e-05
knee_inner,7.368062997280774,3.4629226320234685e-05,6.145827803681614e-05,7.681102018115837e-05
knee_inner,9.800786961168827,6.127138458109777e-05,0.00010877265459427118,0.0001359263907418362
knee_inner,13.036726897376788,0.00010832271336861515,0.00019251309950044787,0.00024054988338384486
knee_inner,17.341081779469537,0.00019170524440581538,0.00034064824550760625,0.00042573007463303503
knee_inner,23.066611707786787,0.0003391461781540317,0.0006026129401819902,0.0007535291075893569
knee_inner,30.682548092687835,0.0005999759968480928,0.0010655955086693453,0.0013338699116266506
knee_inner,40.81304915460552,0.0010614555846981677,0.0018861758964470593,0.002361505413848275
knee_inner,54.28835233189814,0.0018793795888408793,0.0033375521009185727,0.004181617694369311
knee_inner,72.21281575281994,0.0033212562678945345,0.005908774612159523,0.007406302542011134
knee_inner,96.0554250582169,0.005883961361388634,0.010458714143474657,0.01312157487684007
knee_inner,127.77018299212939,0.01039638668868359,0.01852419675748823,0.02325552267749087
knee_inner,169.95624819678739,0.018409327171905243,0.03282636292030627,0.04123341973376471
knee_inner,226.07094726402102,0.03254488582180415,0.058189232636696286,0.07314340434393563
knee_inner,300.7131172822503,0.057703676762878464,0.10282077183439242,0.12980782735337826
knee_inner,400.0,0.10168663081087193,0.18214236116008808,0.23063651307145872
ost_point,1.0,5.538068594167429e-07,1.981850021487029e-06,3.988465060502169e-06
ost_point,1.330171439194516,9.797761338454169e-07,3.5068320243869587e-06,7.057924748260155e-06
ost_point,1.7693560576488099,1.7333724996747334e-06,6.205384304531678e-06,1.2490124113563594e-05
ost_point,2.3535468936502526,3.0667890003473436e-06,1.0980827904479734e-05,2.210452059412532e-05
ost_point,3.130620858738539,5.425282173927002e-06,1.94320375398175e-05,3.912264443043517e-05
ost_point,4.164262453240614,9.596883013689573e-06,3.43893514198198e-05,6.924986044109377e-05
ost_point,5.539182980610754,1.6983791337336733e-05,6.086384104890216e-05,0.00012259355563262048
ost_point,7.368062997280774,3.0044424448830154e-05,0.00010771647392410319,0.00021706692932485505
ost_point,9.800786961168827,5.311245595530033e-05,0.0001906157779381643,0.00038443474135203826
ost_point,13.036726897376788,9.39776536652958e-05,0.0003374331348901427,0.0006810653451372328
ost_point,17.341081779469537,0.00016641218983146078,0.0005974850293243798,0.0012070850673016331
ost_point,23.066611707786787,0.0002942989401718719,0.0010588597850213748,0.002140578320068004
ost_point,30.682548092687835,0.0005208098173954696,0.0018760634545141527,0.0037988362012507104
ost_point,40.81304915460552,0.000921898945413965,0.003325174197335117,0.006748487999126529
ost_point,54.28835233189814,0.0016342096676097428,0.005904264640600513,0.01200459601696735
ost_point,72.21281575281994,0.0028865693559909436,0.010494237203736469,0.021393172657428572
ost_point,96.0554250582169,0.005110316498812342,0.018627022424218376,0.03821764521291815
ost_point,127.77018299212939,0.009045320148035038,0.03304868445650313,0.06850005007553728
ost_point,169.95624819678739,0.01604247318819149,0.058595669734874956,0.12333318288485762
ost_point,226.07094726402102,0.028276762944575144,0.1035226618828411,0.22344434565109106
ost_point,300.7131172822503,0.05013568260648282,0.1833805398744333,0.4083385285544945
ost_point,400.0,0.08833358235030886,0.3236949716867636,0.7554389354582671
knee_outer,1.0,1.7707841787392015e-06,3.14281649095062e-06,3.928810744482231e-06
knee_outer,1.330171439194516,3.1334257174671365e-06,5.561073818372703e-06,6.9517027590643155e-06
knee_outer,1.7693560576488099,5.544684337072808e-06,9.840254597943965e-06,1.2300596215937543e-05
knee_outer,2.3535468936502526,9.808866215852557e-06,1.741264260607736e-05,2.1765448130053877e-05
knee_outer,3.130620858738539,1.7359392116382544e-05,3.081322896763411e-05,3.851391458312148e-05
knee_outer,4.164262453240614,3.072438966563243e-05,5.452912676476643e-05,6.815207860749739e-05
knee_outer,5.539182980610754,5.436567757043098e-05,9.650388761895876e-05,0.0001206023106817139
knee_outer,7.368062997280774,9.613860487724807e-05,0.0001708162608312913,0.0002134283333900533
knee_outer,9.800786961168827,0.00017008206414002858,0.000302295724714928,0.0003777241714598145
knee_outer,13.036726897376788,0.00030091603419954427,0.0005347636958412255,0.0006685470680216077
knee_outer,17.341081779469537,0.0005322321857534063,0.000945489802175542,0.0011834076013739203
knee_outer,23.066611707786787,0.0009418439537630385,0.001672958000703037,0.0020950552071585804
knee_outer,30.682548092687835,0.0016676921672397482,0.002961098509691812,0.003709645679311313
knee_outer,40.81304915460552,0.002947264918500947,0.005244012389778285,0.006570012973338146
knee_outer,54.28835233189814,0.005219523401514159,0.00928176848130674,0.011639163292781474
knee_outer,72.21281575281994,0.009225770824827506,0.016427978611760596,0.020626565124159946
knee_outer,96.0554250582169,0.016326810113471923,0.029099475554526577,0.03656871971543385
knee_outer,127.77018299212939,0.028913555024815074,0.05160074666099196,0.06486229551391931
knee_outer,169.95624819678739,0.05112540929818665,0.09122437871256173,0.11510076255559243
knee_outer,226.07094726402102,0.09025206053621138,0.16170088337909982,0.2043290196790366
knee_outer,300.7131172822503,0.16036022203129785,0.28673044097228795,0.36517735906789994
knee_outer,400.0,0.2844227628481826,0.5086121072288421,0.6537415265016833
ankle_inner,1.0,7.649386304965644e-07,1.2894300490400197e-06,1.6158704699877069e-06
ankle_inner,1.330171439194516,1.3534200312441055e-06,2.281347104946159e-06,2.8591804505737756e-06
ankle_inner,1.7693560576488099,2.3946141821992034e-06,4.03624756479138e-06,5.059214725235822e-06
ankle_inner,2.3535468936502526,4.236757467583792e-06,7.1409289864763845e-06,8.952273621975343e-06
ankle_inner,3.130620858738539,7.496054000529807e-06,1.26333632030802e-05,1.5841457598635145e-05
ankle_inner,4.164262453240614,1.3262198349415014e-05,2.2349428671380143e-05,2.8033175860329995e-05
ankle_inner,5.539182980610754,2.346743505231806e-05,3.953921132876688e-05,4.9610078049683315e-05
ankle_inner,7.368062997280774,4.15304107085554e-05,6.997215799709605e-05,8.780004074122882e-05
ankle_inner,9.800786961168827,7.348689540376957e-05,0.00012383676396890073,0.00015540167788306858
ankle_inner,13.036726897376788,0.00013002345557904665,0.00021918453035426125,0.0002750836739146556
ankle_inner,17.341081779469537,0.00023007830410332053,0.00038782924946505204,0.00048701007671328456
ankle_inner,23.066611707786787,0.000407096126722184,0.0006861373203464957,0.0008623751613875408
ankle_inner,30.682548092687835,0.000720576706838616,0.00121464143326986,0.001527452861930123
ankle_inner,40.81304915460552,0.0012756773906727054,0.0021459735823151915,0.0027063882121024507
ankle_inner,54.28835233189814,0.0022588062059941127,0.0037950057284033695,0.004797476306382054
ankle_inner,72.21281575281994,0.003996178184211607,0.00671832092094217,0.008509464901795605
ankle_inner,96.0554250582169,0.007070115749170047,0.011894988411397411,0.015105891584460074
ankle_inner,127.77018299212939,0.012521617332357349,0.02098695255592478,0.026844924442081197
ankle_inner,169.95624819678739,0.02215702814708842,0.037179606993325565,0.047775484752550224
ankle_inner,226.07094726402102,0.03916701368169617,0.06584897410625046,0.0851885187308179
ankle_inner,300.7131172822503,0.06929940510616428,0.11685287909320474,0.15228672796727594
ankle_inner,400.0,0.12260332682011366,0.20690780565799383,0.27315212464979366
ankle_outer,1.0,7.649386304965644e-07,1.2894300490400197e-06,1.6158704699877069e-06
ankle_outer,1.330171439194516,1.3534200312441055e-06,2.281347104946159e-06,2.8591804505737756e-06
ankle_outer,1.7693560576488099,2.3946141821992034e-06,4.03624756479138e-06,5.059214725235822e-06
ankle_outer,2.3535468936502526,4.236757467583792e-06,7.1409289864763845e-06,8.952273621975343e-06
ankle_outer,3.130620858738539,7.496054000529807e-06,1.26333632030802e-05,1.5841457598635145e-05
ankle_outer,4.164262453240614,1.3262198349415014e-05,2.2349428671380143e-05,2.8033175860329995e-05
ankle_outer,5.539182980610754,2.346743505231806e-05,3.953921132876688e-05,4.9610078049683315e-05
ankle_outer,7.368062997280774,4.15304107085554e-05,6.997215799709605e-05,8.780004074122882e-05
ankle_outer,9.800786961168827,7.348689540376957e-05,0.00012383676396890073,0.00015540167788306858
ankle_outer,13.036726897376788,0.00013002345557904665,0.00021918453035426125,0.0002750836739146556
ankle_outer,17.341081779469537,0.00023007830410332053,0.00038782924946505204,0.00048701007671328456
ankle_outer,23.066611707786787,0.000407096126722184,0.0006861373203464957,0.0008623751613875408
ankle_outer,30.682548092687835,0.000720576706838616,0.00121464143326986,0.001527452861930123
ankle_outer,40.81304915460552,0.0012756773906727054,0.0021459735823151915,0.0027063882121024507
ankle_outer,54.28835233189814,0.0022588062059941127,0.0037950057284033695,0.004797476306382054
ankle_outer,72.21281575281994,0.003996178184211607,0.00671832092094217,0.008509464901795605
ankle_outer,96.0554250582169,0.007070115749170047,0.011894988411397411,0.015105891584460074
ankle_outer,127.77018299212939,0.012521617332357349,0.02098695255592478,0.026844924442081197
ankle_outer,169.95624819678739,0.02215702814708842,0.037179606993325565,0.047775484752550224
ankle_outer,226.07094726402102,0.03916701368169617,0.06584897410625046,0.0851885187308179
ankle_outer,300.7131172822503,0.06929940510616428,0.11685287909320474,0.15228672796727594
ankle_outer,400.0,0.12260332682011366,0.20690780565799383,0.27315212464979366
